區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
118巷,梧貳,j,4.3,156,11:00-14:30/17:00-20:00,11:00-14:30/17:00-20:00,11:00-14:30/17:00-20:00,11:00-14:30/17:00-20:00,11:00-14:30/17:00-20:00,11:00-14:30/17:00-20:00,11:00-14:30/17:00-20:00,1
118巷,師大第一腿-甄品味,koh,4,359,10:30-14:30/16:30-20:30,10:30-14:30/16:30-20:30,10:30-14:30/16:30-20:30,10:30-14:30/16:30-20:30,10:30-14:30/16:30-20:30,10:30-14:30/16:30-20:30,x,1
118巷,台灣第一腿(泰式碳烤),koh,3,112,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,1
118巷,叮叮食堂,tw,4.5,89,11:30-14:00/17:00-20:40,11:30-14:00/17:00-20:40,11:30-14:00/17:00-20:40,11:30-14:00/17:00-20:40,11:30-14:00/17:00-20:40,x,11:30-14:00/17:00-20:40,1
118巷,源士林粥品（台大店）,tw,3.9,150,11:00-20:40,11:00-20:40,11:00-20:40,11:00-20:40,11:00-20:40,x,11:00-20:40,1
118巷,李記水餃,tw,3.7,260,11:00-14:00/17:00-20:00,11:00-14:00/17:00-20:00,11:00-14:00/17:00-20:00,11:00-14:00/17:00-20:00,11:00-14:00/17:00-20:00,11:30-13:30,11:00-14:00/17:00-20:00,1
118巷,林記海南雞飯,koh,4,182,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,2
118巷,穰穰,tw,4,240,11:00-14:00/17:00-20:00,11:00-14:00/17:00-20:00,11:00-14:00/17:00-20:00,11:00-14:00/17:00-20:00,11:00-14:00/17:00-20:00,11:00-14:00,x,1
118巷,憶馬當鮮,koh,4.4,736,11:30-14:00/17:00-20:00,11:30-14:00/17:00-20:00,11:30-14:00/17:00-20:00,11:30-14:00/17:00-20:00,11:30-14:00/17:00-20:00,x,11:30-14:00/17:00-20:00,1
118巷,笑嘻嘻港式現炒飯麵,hk,3.8,1075,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,1
118巷,COMEBUY_科技大樓店,dr,4.9,574,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,1
