區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
公館、水源,義樂麵屋,j,3.8,1362,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,2
公館、水源,龍哥無骨雞腿排,tw,4.4,274,x,x,16:00-22:00,16:00-22:00,16:00-22:00,16:00-22:00,16:00-22:00,1
公館、水源,小飯館兒,k,4,2280,11:30-15:00/16:30-22:30,x,11:30-15:00/16:30-22:30,11:30-15:00/16:30-22:30,11:30-15:00/16:30-22:30,11:30-15:00/16:30-22:30,11:30-15:00/16:30-22:30,2
公館、水源,炸手指,tw,4.3,212,16:00-02:00,16:00-02:00,16:00-02:00,16:00-02:00,16:00-02:00,16:00-02:00,16:00-02:00,1
公館、水源,池先生 Kopitiam,koh,4.2,3118,11:30-15:30/17:00-20:45,11:30-15:30/17:00-20:45,11:30-15:30/17:00-20:45,11:30-15:30/17:00-20:45,11:30-15:30/17:00-20:45,11:30-20:45,11:30-20:45,2
公館、水源,翠薪越南餐廳,koh,4,1556,11:20-14:30/17:20-21:00,11:20-14:30/17:20-21:00,x,11:20-14:30/17:20-21:00,11:20-14:30/17:20-21:00,11:20-14:30/17:20-21:00,11:20-14:30/17:20-21:00,2
公館、水源,威宇牛排,tw,4.3,1018,11:00-23:00,x,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,1
公館、水源,泰國小館,koh,3.9,2246,11:30-21:30,x,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,2
公館、水源,藍家割包,tw,4,4593,x,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,1
公館、水源,12MINI快煮鍋,tw,3.9,995,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-23:00,11:00-23:00,11:00-23:00,1
公館、水源,大盛豬排專門店,j,4.2,1113,x,11:30-14:00/17:00-20:15,11:30-14:00/17:00-20:15,11:30-14:00/17:00-20:15,11:30-14:00/17:00-20:15,11:30-14:00/17:00-20:15,11:30-14:00/17:00-20:15,2
公館、水源,劉家水煎包,tw,3.4,583,05:30-21:30,05:30-21:30,05:30-21:30,05:30-21:30,05:30-21:30,05:30-21:30,05:30-21:30,1
公館、水源,公館小吃店,tw,3.7,82,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,1
公館、水源,貳樓餐廳,am,4.1,2992,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-22:00,08:00-22:00,08:00-22:00,2
