區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
校內,海音Brunch,am,3.1,11,07:30–13:30,07:30–13:30,07:30–13:30,07:30–13:30,07:30–13:30,07:30–13:30,07:30–13:30,1
校內,Drink store水雲堂,dr,4.2,14,10:30–19:30,10:30–19:30,10:30–19:30,10:30–19:30,10:30–19:30,x,x,1
校內,食香園素食館,tw,4.7,66,11:00–14:00/17:00–19:00,11:00–14:00/17:00–19:00,11:00–14:00/17:00–19:00,11:00–14:00/17:00–19:00,11:00–14:00/17:00–19:00,x,x,1
校內,韓風小舖,k,4.3,41,11:00–14:30/16:30–19:30,11:00–14:30/16:30–19:30,11:00–14:30/16:30–19:30,11:00–14:30/16:30–19:30,11:00–14:30/16:30–19:30,11:00–14:30/16:30–19:30,x,1
校內,御喜自助餐,tw,3,35,10:30–14:30/16:30–20:00,10:30–14:30/16:30–20:00,10:30–14:30/16:30–20:00,10:30–14:30/16:30–20:00,10:30–14:30/16:30–20:00,10:30–14:30/16:30–20:00,10:30–14:30/16:30–20:00,1
校內,麥當勞,am,3.4,305,07:00–22:00,07:00–22:00,07:00–22:00,07:00–22:00,07:00–22:00,07:00–22:00,07:00–22:00,1
校內,重慶抄手麵食館,ch,4.4,17,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,1
校內,品軒樓,tw,4,123,11:00–14:00/17:00–21:00,11:00–14:00/17:00–21:00,11:00–14:00/17:00–21:00,11:00–14:00/17:00–21:00,11:00–14:00/17:00–21:00,11:00–14:00/17:00–21:00,11:00–14:00/17:00–21:00,1
校內,肯德基KFC,am,3.4,123,11:00–19:00,11:00–19:00,11:00–19:00,11:00–19:00,11:00–19:00,11:00–19:00,11:00–19:00,2
校內,Louisa Coffee 路易．莎咖啡,dr,4,119,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,1
校內,丹堤咖啡 Dante Coffee,dr,3.8,80,08:00–17:00,08:00–17:00,08:00–17:00,08:00–17:00,08:00–17:00,08:00–17:00,08:00–17:00,2
校內,小木屋鬆餅,am,4.2,2259,07:30–19:30,07:30–19:30,07:30–19:30,07:30–19:30,07:30–19:30,09:00–19:00,09:00–19:00,1
校內,四海遊龍,tw,3.2,52,11:00–19:00,11:00–19:00,11:00–19:00,11:00–19:00,11:00–19:00,x,11:00–19:00,1
校內,大叔韓國炸雞,k,2.7,13,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,x,x,2
校內,原典鮮沏茶,dr,3.7,64,08:00–18:30,08:00–18:30,08:00–18:30,08:00–18:30,08:00–18:30,x,x,1
校內,女九餐廳,tw,4.1,331,07:00–19:30,07:00–19:30,07:00–19:30,07:00–19:30,07:00–19:30,07:00–19:30,x,1
校內,五花馬水餃館,ch,3,8,11:00–19:30,11:00–19:30,11:00–19:30,11:00–19:30,11:00–19:30,x,x,1
校內,摩斯漢堡,am,3.2,131,07:30–19:30,07:30–19:30,07:30–19:30,07:30–19:30,07:30–19:30,09:00–15:00,09:00–15:00,2
校內,ALL PASS食堂,"j,k",3.9,16,10:30–19:30,10:30–19:30,10:30–19:30,10:30–19:30,10:30–19:30,10:30–19:30,x,1
校內,比司多,tw,4.3,7,07:00–19:00,07:00–19:00,07:00–19:00,07:00–19:00,07:00–19:00,07:00–14:00,x,1
校內,炸鷄大獅北市台大小福樓店,tw,4.9,88,10:30–14:00,10:30–14:00,10:30–14:00,10:30–14:00,10:30–14:00,x,x,1
校內,稻彥商號,j,4.6,8,11:00–19:30,11:00–19:30,11:00–19:30,11:00–19:30,11:00–19:30,x,11:00–17:00,1
校內,CoCo壹番屋 公館台大店,j,3.8,1189,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,2
校內,椰林燒臘,hk,4.5,88,10:30-14:30/16:30-20:00,10:30-14:30/16:30-20:00,10:30-14:30/16:30-20:00,10:30-14:30/16:30-20:00,10:30-14:30/16:30-20:00,10:30-14:30/16:30-20:00,x,1
校內,厚宅,j,4.3,453,11:00-14:00/11:00-14:00,11:00-14:00/11:00-14:00,11:00-14:00/11:00-14:00,11:00-14:00/11:00-14:00,11:00-14:00/11:00-14:00,x,x,1
校內,稍飽 燒肉廚房,j,4,117,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,x,x,1
校內,JM Café & Bistro,am,4.5,100,x,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,3
