區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
新生南路、溫州街,阿布都中東料理,oth,4.7,331,11:30-14:00/17:30-21:00,11:30-14:00/17:30-21:00,11:30-14:00/17:30-21:00,11:30-14:00/17:30-21:00,17:30-21:00,00:00-09:00/11:30-14:00/17:30-21:00,11:30-14:00/17:30-21:00,2
新生南路、溫州街,瓦崎燒烤火鍋,tw,3.1,460,11:30-23:00,11:30-23:00,11:30-23:00,11:30-23:00,11:30-23:00,11:30-23:00,11:30-23:00,2
新生南路、溫州街,LOUISA COFFEE 路易莎咖啡 (台大店),dr,3.6,231,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,1
新生南路、溫州街,雲香亭,koh,4.4,664,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,1
新生南路、溫州街,綠蓋茶‧館,dr,3.9,647,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,1
新生南路、溫州街,平山家日式料理,j,4,160,12:00-14:00/17:30-21:00,12:00-14:00/17:30-21:00,12:00-14:00/17:30-21:00,12:00-14:00/17:30-21:00,12:00-14:00/17:30-21:00,12:00-14:00/17:30-21:00,12:00-14:00/17:30-21:00,2
新生南路、溫州街,興隆涼麵,tw,4,412,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,1
新生南路、溫州街,金湯匙豆花坊 素食 簡餐便當,fat,4.5,163,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,1
新生南路、溫州街,小飯廳,tw,3.8,751,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,1
新生南路、溫州街,七里亭,tw,3.9,850,11:00-15:30/17:00-21:30,11:00-15:30/17:00-21:30,11:00-15:30/17:00-21:30,11:00-15:30/17:00-21:30,11:00-15:30/17:00-21:30,x,11:00-15:30/17:00-21:30,1
